product_id,category,price,rating,reviews,discount,sales_last_7d,revenue_last_7d,revenue_next_7d
0,electronics,1527,1,169,18,78,95284.79999999999,92126.75822652291
1,electronics,179,1,251,21,2,286.4,256.60181924824326
2,home,1359,1,305,8,5,5436.0,6755.040176086646
3,electronics,2935,4,19,9,17,39916.0,49835.63790808587
4,electronics,655,2,86,8,5,2620.0,2674.7233464132937
5,electronics,3646,1,182,43,30,87504.0,67415.0561381394
6,home,3708,2,161,43,11,32630.4,19694.055683768984
7,home,2763,2,95,38,2,4420.8,4021.183818824931
8,home,3127,1,254,22,60,150096.0,138934.4472015618
9,electronics,2656,3,245,52,49,104115.20000000001,70057.426474745
10,electronics,2881,1,237,51,77,177469.6,94691.34506412607
11,home,926,2,178,5,37,27409.6,32194.65232630327
12,electronics,1628,1,92,65,18,23443.2,10215.863989123354
13,electronics,2173,3,295,55,40,69536.0,37066.11340693633
14,home,3927,1,271,41,72,226195.19999999998,183090.708083165
15,home,1238,2,389,39,3,2971.2,2313.16944258577
16,home,3730,3,363,59,16,47744.0,29045.217900254724
17,electronics,591,3,18,55,17,8037.6,4936.729916175805
18,electronics,2145,4,16,35,73,125268.0,111268.05151502712
19,home,223,3,20,7,59,10525.6,12693.332620624704
20,home,1988,2,83,67,16,25446.4,9161.686842795658
21,home,456,2,225,13,15,5472.0,6867.066307899644
22,home,676,4,28,34,48,25958.399999999998,23481.51991265757
23,electronics,3839,4,161,67,24,73708.79999999999,25532.282057801825
24,home,1937,1,319,53,47,72831.2,42282.62051314083
25,electronics,3495,4,204,39,33,92268.0,75605.66891838533
26,home,3551,1,298,29,43,122154.40000000001,102068.18118427273
27,home,3598,3,271,55,7,20148.8,11035.305732281628
28,electronics,1308,4,51,33,15,15696.000000000002,12653.203453657721
29,home,1333,3,19,20,14,14929.600000000002,17789.328086589347
30,electronics,592,3,275,60,47,22259.2,10389.73307301158
31,home,1758,4,73,1,74,104073.6,110543.68024012481
32,home,279,2,58,28,41,9151.199999999999,6633.824193485783
33,home,1579,3,146,21,43,54317.6,54870.01534030601
34,home,3460,3,242,41,61,168848.0,130803.7652368533
35,electronics,1318,4,291,61,31,32686.4,17647.336520649354
36,home,2295,4,148,44,61,111996.0,80999.75299567991
37,electronics,1462,3,158,0,4,4678.4,6526.112319243492
38,electronics,2360,2,100,66,55,103840.0,44937.69852296213
39,electronics,3488,2,112,13,43,119987.2,132397.56575970413
40,home,974,3,13,52,36,28051.2,19347.910850789187
41,home,3292,1,249,60,49,129046.4,54628.80707238712
42,home,3554,4,237,69,56,159219.19999999998,53530.35703320422
43,electronics,82,3,116,19,60,3935.9999999999995,4057.892569448077
44,home,1036,1,363,6,27,22377.6,24943.631516748985
45,home,1709,2,190,43,75,102540.0,80703.98840925841
46,home,2088,2,225,7,77,128620.8,132404.09368197748
47,home,2318,4,109,11,64,118681.6,128220.94649643039
